OBJECTID,STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CSAFP,CBSAFP,METDIVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Region,District,Grand,Commission,FarmBureau,Shape__Area,Shape__Length
1,47,65,1639749,47065,Hamilton,Hamilton County,6,H1,G4020,174,16860, ,A,1404935852,86587760,35.1607616,-85.1977114,3,32,East,4,3,16055054290,650912.0522
2,47,115,1639770,47115,Marion,Marion County,6,H1,G4020,174,16860, ,A,1290244621,36484742,35.1334215,-85.618399,3,32,East,4,3,14281441600,528655.8887
3,47,185,1639800,47185,White,White County,6,H1,G4020, , , ,A,975592097,7113368,35.9270486,-85.4557854,3,31,Middle,3,4,10576664499,603207.5825
4,47,129,1639778,47129,Morgan,Morgan County,6,H1,G4020,314,28940, ,A,1352439653,823017,36.138697,-84.6392616,3,31,East,2,4,14565281812,623544.6457
5,47,13,1639728,47013,Campbell,Campbell County,6,H1,G4020,314,28940, ,A,1243615772,46494677,36.4015922,-84.1592495,4,41,East,2,5,13886558611,668417.597
6,47,123,1639776,47123,Monroe,Monroe County,6,H1,G4020, , , ,A,1646324247,43852639,35.4478181,-84.249705,3,32,East,4,3,18191878883,848575.8193
7,47,149,1639787,47149,Rutherford,Rutherford County,6,H1,G4020,400,34980, ,A,1604151408,12142906,35.8433688,-86.4172127,2,21,Middle,5,2,17395844976,823491.9072
8,47,159,1639791,47159,Smith,Smith County,6,H1,G4020,400,34980, ,A,814016768,28694080,36.2556502,-85.9420777,2,21,Middle,3,4,9070390252,526141.2555
9,47,169,1648581,47169,Trousdale,Trousdale County,6,H6,G4020,400,34980, ,C,296143573,5960720,36.3930297,-86.1566909,2,21,Middle,3,4,3251784424,323684.7968
10,47,165,1639794,47165,Sumner,Sumner County,6,H1,G4020,400,34980, ,A,1371067660,35857194,36.473443,-86.4597975,2,21,Middle,5,2,15144294458,647848.2108
11,47,61,1639748,47061,Grundy,Grundy County,6,H1,G4020, , , ,A,933549061,1752165,35.393356,-85.7103893,3,32,Middle,3,3,10067044363,477541.0788
12,47,3,1639723,47003,Bedford,Bedford County,6,H1,G4020,400,43180, ,A,1226719728,2980817,35.5136604,-86.4582939,2,22,Middle,5,2,13235411560,613648.9136
13,47,27,1648573,47027,Clay,Clay County,6,H1,G4020, , , ,A,612626307,59071215,36.5457881,-85.545816,3,31,Middle,3,4,7230452687,499361.4998
14,47,97,1639763,47097,Lauderdale,Lauderdale County,6,H1,G4020, , , ,A,1222389178,92231168,35.7629507,-89.6277318,1,11,West,9,1,14149000719,932787.587
15,47,105,1639767,47105,Loudon,Loudon County,6,H1,G4020,314,28940, ,A,593760992,46923925,35.73745,-84.316204,4,41,East,2,3,6895566053,625542.4876
